,0
Team_ID,1610612744
Season,2006-07
FGM,"{'AVG': 39.76829268292683, 'STDEV': 4.974748037512646}"
FGA,"{'AVG': 85.95121951219512, 'STDEV': 7.171449633962026}"
FGP,"{'AVG': 0.464, 'STDEV': 0.05691991341534}"
FG3M,"{'AVG': 8.536585365853659, 'STDEV': 3.601080502976711}"
FG3A,"{'AVG': 23.98780487804878, 'STDEV': 6.399255169696665}"
FG3P,"{'AVG': 0.351840658572853, 'STDEV': 0.113902028864166}"
FTM,"{'AVG': 18.475609756097562, 'STDEV': 6.36585337011309}"
FTA,"{'AVG': 25.76829268292683, 'STDEV': 25.76829268292683}"
FTP,"{'AVG': 0.7152804878048781, 'STDEV': 0.7152804878048781}"
OREB,"{'AVG': 11.463414634146341, 'STDEV': 3.482567245019038}"
DREB,"{'AVG': 29.951219512195124, 'STDEV': 4.923870902782576}"
REB,"{'AVG': 41.41463414634146, 'STDEV': 6.4901658171139545}"
AST,"{'AVG': 23.78048780487805, 'STDEV': 6.04923092804673}"
BLK,"{'AVG': 5.682926829268292, 'STDEV': 2.6891553990076593}"
TOV,"{'AVG': 15.682926829268293, 'STDEV': 3.927987732186746}"
PF,"{'AVG': 23.573170731707318, 'STDEV': 4.058311051136268}"
